effect_id,parameter,base_value,low_value,high_value,base_neutral,low_neutral,high_neutral,pct_change_low,pct_change_high
chicken_corporate_campaigns,fund_split_pct,0.512,0.256,0.768,1.205e+06,6.026e+05,1.808e+06,-50%,+50%
chicken_corporate_campaigns,persistence_years,15,7.5,22.5,1.205e+06,6.026e+05,1.808e+06,-50%,+50%
movement_building,fund_split_pct,0.231,0.1155,0.3465,4.541e+05,2.27e+05,6.811e+05,-50%,+50%
movement_building,persistence_years,10,5,15,4.541e+05,2.27e+05,6.811e+05,-50%,+50%
policy_advocacy_multi_species,fund_split_pct,0.119,0.0595,0.1785,9.082e+05,4.541e+05,1.362e+06,-50%,+50%
policy_advocacy_multi_species,persistence_years,15,7.5,22.5,9.082e+05,4.541e+05,1.362e+06,-50%,+50%
fish_welfare,fund_split_pct,0.045,0.0225,0.0675,1.828e+05,9.14e+04,2.742e+05,-50%,+50%
fish_welfare,persistence_years,10,5,15,1.828e+05,9.14e+04,2.742e+05,-50%,+50%
shrimp_welfare,fund_split_pct,0.019,0.0095,0.0285,2.733e+06,1.367e+06,4.1e+06,-50%,+50%
shrimp_welfare,persistence_years,10,5,15,2.733e+06,1.367e+06,4.1e+06,-50%,+50%
wild_animal_welfare,fund_split_pct,0.024,0.012,0.036,7.959e+05,3.98e+05,1.194e+06,-50%,+50%
wild_animal_welfare,persistence_years,10,5,15,7.959e+05,3.98e+05,1.194e+06,-50%,+50%
invertebrate_welfare,fund_split_pct,0.014,0.007,0.021,3.143e+06,1.572e+06,4.715e+06,-50%,+50%
invertebrate_welfare,persistence_years,10,5,15,3.143e+06,1.572e+06,4.715e+06,-50%,+50%
