effects at time horizon,,,,Risk profile: NEUTRAL,,,,,,Risk profile: UPSIDE sceptical,,,,,,Risk profile: DOWNSIDE CRITICAL,,,,,,Risk profile: COMBINED,,,,,,Risk profile: DMREU,,,,,,"Risk profile: WLU (low, 0.01)",,,,,,"Risk profile: WLU (moderate, 0.05)",,,,,,"Risk profile: WLU (high, 0.1)",,,,,,Risk profile: AMBIGUITY AVERSION,,,,,
project_id,near_term_xrisk,effect_id,recipient_type,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,dmreu_t0,dmreu_t1,dmreu_t2,dmreu_t3,dmreu_t4,dmreu_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5
sentinel_bio,FALSE,effect_human_lives_extinction,human_life_years,321.6,3130,1.407e+04,1.561e+05,9.477e+05,2.847e+19,170.1,2115,9760,1.046e+05,6.291e+05,-3.482e+18,158.2,1558,6951,7.646e+04,4.64e+05,1.454e+19,-131.4,-829.5,-3517,-4.275e+04,-2.642e+05,-1.78e+19,-18.09,-15.45,15.75,-1097,-8388,-5.03e+18,126.2,1327,5927,6.422e+04,3.839e+05,7.892e+18,84.84,824.8,3378,3.059e+04,1.566e+05,-6.508e+18,37.65,252.9,527,-5280,-7.625e+04,-1.037e+19,35.55,777,3757,3.866e+04,2.302e+05,-3.559e+18
sentinel_bio_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,158.6,399.3,424.9,229,0.03501,0,143.4,373.8,376.2,123.3,-0.001443,0,78.19,197.2,211.1,113.9,0.02924,0,2.685,43.11,-16.51,-105.9,-0.007375,0,15.64,59.56,30.51,-15.95,-0.002148,0,65.92,173.1,171.8,82.8,0.01532,0,49.97,128.4,123,56.07,0.01239,0,30.56,73.44,64.89,25.62,0.009008,0,84.92,249.7,202.1,11.85,-0.001475,0
sentinel_bio_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,80.68,203.2,216.2,116.5,0.01859,0,73.84,191.9,194.1,64.61,-0.001858,0,39.81,100.5,108.8,59.3,0.01115,0,3.005,25.83,-2.83,-51.21,-0.009496,0,8.556,32.01,17.35,-7.344,-0.002815,0,33.73,88.63,88.36,42.75,0.007035,0,26.42,67.92,65.7,30.25,0.005455,0,17.45,42.34,38.43,15.81,0.003603,0,44.79,130.9,107,7.244,-0.001899,0
sentinel_bio_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,461,1163,1240,668.2,0.1106,0,407.8,1069,1069,340.7,-0.007924,0,227.8,580.2,631.8,349.3,0.07893,0,-7.398,89.66,-71.13,-297.6,-0.0405,0,39.61,156.6,79.84,-43.82,-0.01195,0,190,501.5,501.3,243.8,0.04455,0,136.4,352.6,341.1,157.6,0.03342,0,72.13,172.1,153.3,61.65,0.02081,0,231,685.5,550.4,28.32,-0.0081,0
longview_nuclear,FALSE,effect_human_lives_extinction,human_life_years,266.4,2720,1.318e+04,1.516e+05,9.21e+05,2.376e+19,129.5,1776,9079,1.016e+05,6.115e+05,-5.318e+18,127.5,1326,6562,7.535e+04,4.572e+05,2.49e+18,-122.7,-809.7,-3303,-4.029e+04,-2.496e+05,-2.718e+19,-19.49,-44.67,4.581,-730.7,-6154,-7.869e+18,101.3,1133,5569,6.277e+04,3.753e+05,2.699e+18,67.49,698.8,3192,3.027e+04,1.556e+05,-1.177e+19,28.97,206.6,534.3,-4396,-6.968e+04,-1.599e+19,19.3,614.9,3463,3.768e+04,2.245e+05,-5.436e+18
longview_nuclear_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,62.43,171.7,204.3,114,0.02318,0,54.96,159,180.3,63.34,-0.0009071,0,30.77,84.65,101.4,56.5,0.01955,0,-2.489,14.22,-7,-50.73,-0.004636,0,4.496,23.39,15.39,-7.431,-0.001343,0,25.52,74.31,83.71,41.63,0.01023,0,19.96,56.97,62.21,29.35,0.008446,0,13.19,35.64,36.31,15.16,0.00636,0,29.87,103.2,98.16,8.015,-0.0009272,0
longview_nuclear_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,15.71,43.36,51.55,28.48,0.005025,0,13.86,40.14,45.48,15.84,-0.0007464,0,7.734,21.39,25.93,14.37,0.002039,0,-0.6115,3.557,-1.35,-12.33,-0.003815,0,1.136,5.894,3.996,-1.761,-0.001134,0,6.492,18.97,21.46,10.6,0.001672,0,5.382,15.42,17.01,8.031,0.001301,0,4.018,11.01,11.57,4.998,0.0008557,0,7.542,26.02,24.83,2.1,-0.000763,0
longview_nuclear_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,256.3,705.1,839.5,470.1,0.09871,0,226.5,654.9,743.9,263.5,-0.00814,0,126.4,347.7,421.4,240.5,0.06615,0,-8.257,62.45,-18.12,-198.9,-0.0416,0,19.06,97.89,66.64,-27.82,-0.01228,0,103.6,301.9,341.6,171.7,0.03873,0,76,217,237.9,113.4,0.02897,0,42.87,113.7,115,47.64,0.01785,0,124.5,427.8,409.2,35.91,-0.008321,0
longview_ai,TRUE,effect_human_lives_extinction,human_life_years,1477,1.062e+04,4.407e+04,4.832e+05,2.933e+06,9.971e+19,995.2,8455,3.583e+04,3.777e+05,2.265e+06,-5.661e+19,-3167,-2.205e+04,-9.04e+04,-9.853e+05,-5.965e+06,-1.267e+20,-4809,-3.149e+04,-1.283e+05,-1.423e+06,-8.651e+06,-2.893e+20,-1262,-7872,-3.171e+04,-3.541e+05,-2.157e+06,-8.483e+19,-563.2,-4080,-1.71e+04,-1.943e+05,-1.213e+06,-3.918e+19,-992.9,-7707,-3.38e+04,-4.085e+05,-2.648e+06,-1.177e+20,-1476,-1.172e+04,-5.175e+04,-6.244e+05,-4.021e+06,-1.371e+20,-61.68,1897,9170,7.857e+04,4.444e+05,-5.786e+19
longview_ai_100m_1b,TRUE,effect_human_lives_sub_ext_100m_1b,human_life_years,16.99,31.72,32.62,18.19,0.004734,0,13.66,26.69,23.52,1.821,-0.0004671,0,-34.41,-65.44,-68.18,-36.81,0.002866,0,-49.95,-91.94,-104.1,-67.22,-0.002388,0,-12.71,-22.85,-27.37,-18.2,-0.0007096,0,-5.408,-10.67,-10.99,-5.629,0.001813,0,-8.08,-16.2,-16.95,-9.09,0.001467,0,-11.32,-22.89,-24.07,-13.13,0.001055,0,2.592,7.391,-1.042,-11.01,-0.0004775,0
