fund,display_name,tier_name,n_samples,mean,p1,p5,p10,p50,p90,p95,p99
sentinel_bio,Sentinel Bio,,1000000,2.8472033914024436e+19,-19533856300.768623,-31.384833362631962,0.0,0.0,13942762873.213947,116114581368.58109,1357011334184251.2
sentinel_bio_100m_1b,100M-1B deaths,100M-1B deaths,1000000,1211.921081449862,-3762.42265188311,-1.2901716288707918,0.0,0.0,3391.9697298837873,7222.458272778046,21666.58402852437
sentinel_bio_10m_100m,10M-100M deaths,10M-100M deaths,1000000,616.6184796501892,-1979.2115377212049,-1.4365038057473398,0.0,0.0,1776.1961830711289,3716.064539906954,10685.343534507087
sentinel_bio_1b_8b,1B-8B deaths,1B-8B deaths,1000000,3532.2712654375086,-10381.568368285267,-2.269910282752529,0.0,0.0,9284.9719145251,20484.881665300785,65102.40539110963
longview_nuclear,Longview Philanthropy Nuclear Weapons Policy Fund,,1000000,2.376316369655242e+19,-18914156760.150963,-26.462636221889376,0.0,0.0,13605070237.076954,113036926565.56905,1333672735152787.2
longview_nuclear_100m_1b,100M-1B deaths,100M-1B deaths,1000000,552.366331014612,-1682.3745825792846,-0.4391446616029075,0.0,0.0,1510.747183422689,3260.460626598139,10022.733585463415
longview_nuclear_10m_100m,10M-100M deaths,10M-100M deaths,1000000,139.1038722525625,-430.18977198035543,-0.15467769242841534,0.0,0.0,382.02368174355513,823.0759681855656,2509.790151644932
longview_nuclear_1b_8b,1B-8B deaths,1B-8B deaths,1000000,2271.0371305366357,-6939.136810092299,-3.2436965408621092,0.0,0.0,6265.318454360453,13458.040082001422,40580.96866298113
longview_ai,Longview Philanthropy AI Program,,1000000,9.970824242326938e+19,-4875971837278.682,-75885726975.16493,-2557268106.0422416,0.0,133611938368.82263,872854894439.5518,1528343460551147.8
longview_ai_100m_1b,100M-1B deaths,100M-1B deaths,1000000,99.52845669545843,-1828.5597315419811,-271.28863016772357,-45.53061197243137,0.0,367.2505714231706,912.1043828063413,3186.795289610717
longview_ai_10m_100m,10M-100M deaths,10M-100M deaths,1000000,83.37614575833335,-1536.9215079269163,-235.25131572505725,-39.94682084784866,0.0,319.49902485170344,779.8377077688414,2627.3192615049
longview_ai_1b_8b,1B-8B deaths,1B-8B deaths,1000000,301.7670486873542,-5445.4165888434945,-813.0403441600877,-137.78053961696153,0.0,1114.8883142999982,2742.563837832364,9588.627333357887
