section,param,dist,note,p0.1,p1,p5,p10,p25,p50,p75,p90,p95,p99,p99.9,mean
World priors,r_inf,loguniform,,6.288e-09,6.827e-09,1.002e-08,1.617e-08,6.591e-08,7.079e-07,7.512e-06,3.129e-05,5.009e-05,7.307e-05,7.951e-05,8.493e-06
World priors,year_risk_1pct_max,lognormal,,16.22,21.21,30.39,37.23,52.55,77.4,114,161,197.2,282.5,371.4,90.68
World priors,year_max_risk,lognormal,,2.274,3.315,5.032,6.297,9.25,14.12,21.6,31.65,39.75,60.37,87.61,17.16
World priors,p_digital_minds,constant,constant=0,0,0,0,0,0,0,0,0,0,0,0,0
World priors,digital_minds,bernoulli_from,Bernoulli(p=p_digital_minds),,,,,,,,,,,,
World priors,carrying_capacity_multiplier | digital_minds=True,lognormal,,9.801,14.36,20,23.92,32.16,44.77,62.33,83.75,99.97,140,206.6,50.48
World priors,carrying_capacity_multiplier | digital_minds=False,lognormal,,1.109,1.161,1.26,1.322,1.439,1.582,1.743,1.901,2.002,2.209,2.466,1.601
World priors,rate_growth,lognormal,,0.005023,0.005189,0.005793,0.006409,0.0079,0.01026,0.01348,0.01732,0.02014,0.02655,0.0351,0.01125
World priors,p_cubic_growth,beta,,0.001506,0.004119,0.01017,0.01566,0.02944,0.05274,0.08574,0.1234,0.1498,0.2043,0.2647,0.06273
World priors,cubic_growth,bernoulli_from,Bernoulli(p=p_cubic_growth),,,,,,,,,,,,
World priors,T_c,lognormal,,54.93,73.41,100.8,119.8,160.6,223.6,310.4,418.8,501.4,700.3,1025,252.2
World priors,s,loguniform,,6.861e-06,7.321e-06,9.787e-06,1.416e-05,4.194e-05,2.584e-04,0.001628,0.004825,0.006916,0.009322,0.009925,0.001372
World priors,cause_fraction_bio,dirichlet_component,,6.472e-12,1.754e-08,3.463e-06,3.417e-05,7.465e-04,0.007805,0.03612,0.09052,0.1363,0.2466,0.3882,0.03009
World priors,cause_fraction_nuclear,dirichlet_component,,7.276e-12,1.588e-08,3.391e-06,3.425e-05,7.287e-04,0.0078,0.03606,0.08986,0.1366,0.2454,0.3875,0.02997
World priors,cause_fraction_ai,dirichlet_component,,0.4642,0.5985,0.7162,0.7739,0.8573,0.926,0.9686,0.9883,0.9943,0.9989,0.9999,0.9
World priors,cause_fraction_other,dirichlet_component,,2.608e-09,7.749e-07,4.426e-05,2.514e-04,0.002517,0.01542,0.05275,0.1138,0.1635,0.2761,0.4145,0.03997
World priors,initial_value,uniform,,7.989e+09,7.991e+09,8.000e+09,8.011e+09,8.044e+09,8.100e+09,8.155e+09,8.189e+09,8.200e+09,8.209e+09,8.211e+09,8.100e+09
World priors,harm_multiplier,uniform,,0.4454,0.4553,0.5,0.5557,0.7232,1.002,1.279,1.444,1.5,1.545,1.555,1.001
Shared cross-fund,cumulative_risk_100_yrs,beta,,0.008738,0.02452,0.0498,0.07011,0.1142,0.1803,0.2624,0.3465,0.4004,0.5028,0.6169,0.1968
Shared cross-fund,persistence_effect,lognormal,,1.104,1.594,2.531,3.321,5.236,8.681,14.43,22.77,30.01,48.83,80.57,11.48
Rel risk reduction per $10M,sentinel_rel_per_10m,loguniform,,1.556e-04,1.630e-04,2.003e-04,2.598e-04,5.571e-04,0.001988,0.00715,0.01554,0.02002,0.02456,0.02571,0.005013
Rel risk reduction per $10M,nuclear_rel_per_10m,loguniform,,1.556e-04,1.630e-04,1.992e-04,2.576e-04,5.549e-04,0.002004,0.007237,0.01553,0.02003,0.02457,0.0257,0.005032
Rel risk reduction per $10M,ai_rel_per_10m,loguniform,,3.891e-05,4.077e-05,5.023e-05,6.483e-05,1.404e-04,5.017e-04,0.001793,0.00387,0.004999,0.00613,0.006425,0.001254
Counterfactual factor,sentinel_counterfactual,beta,,0.5523,0.6503,0.7297,0.7693,0.8299,0.8864,0.9295,0.9576,0.9701,0.9858,0.9946,0.8728
Counterfactual factor,nuclear_counterfactual,beta,,0.4963,0.5919,0.6808,0.7249,0.7934,0.8585,0.91,0.9449,0.9603,0.9805,0.9927,0.8445
Counterfactual factor,ai_counterfactual,beta,,0.3025,0.4007,0.4996,0.5534,0.6408,0.7321,0.8123,0.871,0.8998,0.9413,0.9714,0.7203
Year effect starts,sentinel_year_effect_starts,lognormal,,0.7223,1.06,1.506,1.809,2.463,3.466,4.877,6.644,8.004,11.32,16.6,3.944
Year effect starts,nuclear_year_effect_starts,lognormal,,0.6848,1.019,1.501,1.857,2.636,3.885,5.739,8.161,10.06,14.87,22.4,4.593
Year effect starts,ai_year_effect_starts,lognormal,,0.5289,0.6951,1.023,1.275,1.86,2.835,4.338,6.345,7.995,12.33,19.5,3.461
Sub-extinction: 10-year probability,sentinel_p10yr_100m_1b,beta,,0.001101,0.002592,0.00499,0.006786,0.01077,0.01679,0.02485,0.0338,0.03998,0.05313,0.06994,0.01891
Sub-extinction: 10-year probability,sentinel_p10yr_10m_100m,beta,,0.1332,0.1659,0.1996,0.219,0.253,0.2931,0.3355,0.3753,0.3996,0.4459,0.4977,0.2955
Sub-extinction: 10-year probability,sentinel_p10yr_1b_8b,beta,,1.155e-04,3.908e-04,1.000e-03,0.001535,0.002864,0.00513,0.008373,0.01224,0.01499,0.02113,0.02951,0.006189
Sub-extinction: 10-year probability,nuclear_p10yr_100m_1b,beta,,3.559e-04,9.473e-04,0.002,0.002827,0.004748,0.007791,0.01194,0.01669,0.02005,0.02745,0.03685,0.008981
Sub-extinction: 10-year probability,nuclear_p10yr_10m_100m,beta,,8.564e-04,0.002395,0.004983,0.007067,0.0119,0.01953,0.02997,0.04176,0.04996,0.06753,0.09099,0.02248
Sub-extinction: 10-year probability,nuclear_p10yr_1b_8b,beta,,2.012e-04,4.968e-04,9.966e-04,0.001388,0.00227,0.003635,0.005458,0.007525,0.009005,0.01217,0.01644,0.004135
Sub-extinction: 10-year probability,ai_p10yr_100m_1b,beta,,4.356e-04,0.001328,0.00301,0.004395,0.007685,0.013,0.02044,0.02903,0.03501,0.04842,0.06656,0.01524
Sub-extinction: 10-year probability,ai_p10yr_10m_100m,beta,,0.005722,0.01494,0.02994,0.04186,0.06811,0.1078,0.1586,0.2136,0.2496,0.3244,0.4107,0.1196
Sub-extinction: 10-year probability,ai_p10yr_1b_8b,beta,,1.463e-04,4.315e-04,9.925e-04,0.001456,0.002571,0.004394,0.006934,0.009901,0.012,0.01664,0.02313,0.005171
Sub-extinction: discount factors,sentinel_discount_10m_100m,beta,,0.05237,0.06803,0.1046,0.1323,0.1892,0.2677,0.3587,0.4459,0.4995,0.5984,0.7033,0.2805
Harm/zero/positive: Sentinel Bio,p_harm,dirichlet_component,,2.414e-13,1.674e-09,9.768e-07,1.585e-05,6.064e-04,0.009835,0.05798,0.1565,0.2384,0.4218,0.6207,0.04971
Harm/zero/positive: Sentinel Bio,p_zero,dirichlet_component,,0.03389,0.08335,0.1654,0.2246,0.3454,0.5001,0.6541,0.7756,0.8355,0.9185,0.9692,0.5001
Harm/zero/positive: Sentinel Bio,p_positive,dirichlet_component,,0.02111,0.05974,0.1283,0.1817,0.2935,0.4425,0.6001,0.7296,0.7955,0.8903,0.9525,0.4502
Harm/zero/positive: Longview Nuclear,p_harm,dirichlet_component,,1.334e-13,1.508e-09,9.517e-07,1.544e-05,5.985e-04,0.009885,0.05765,0.1571,0.241,0.4218,0.6225,0.04996
Harm/zero/positive: Longview Nuclear,p_zero,dirichlet_component,,0.03213,0.08362,0.1657,0.225,0.3452,0.4999,0.6541,0.7759,0.8349,0.9157,0.9684,0.4998
Harm/zero/positive: Longview Nuclear,p_positive,dirichlet_component,,0.02067,0.06036,0.1296,0.1814,0.2935,0.443,0.6004,0.7294,0.795,0.8886,0.9555,0.4502
Harm/zero/positive: Longview AI,p_harm,dirichlet_component,,2.281e-05,4.653e-04,0.004011,0.01022,0.036,0.1032,0.2206,0.3611,0.4513,0.6177,0.7736,0.1494
Harm/zero/positive: Longview AI,p_zero,dirichlet_component,,0.03182,0.08364,0.1657,0.2246,0.3457,0.4994,0.6551,0.7758,0.8352,0.9169,0.9667,0.5
Harm/zero/positive: Longview AI,p_positive,dirichlet_component,,0.006805,0.02659,0.06927,0.1065,0.1952,0.3295,0.4866,0.627,0.7042,0.8245,0.9175,0.3506
