fund,display_name,tier_name,n_samples,mean,p1,p5,p10,p50,p90,p95,p99
sentinel_bio,Sentinel Bio,,100000,1.115159890371683e+32,-15602556988346.281,0.0,0.0,0.0,10956608760413.547,139497012676757.92,7.985876081156721e+27
sentinel_bio_100m_1b,100M-1B deaths,100M-1B deaths,100000,1517.5952097678685,-3348.245823635996,-1.3951024264946972,0.0,0.0,3348.245823635996,11160.81941211999,33482.45823635997
sentinel_bio_10m_100m,10M-100M deaths,10M-100M deaths,100000,790.4179168492157,-1743.8862958866755,-0.7266192899422078,0.0,0.0,1743.8862958866755,5812.954319622253,17438.862958866757
sentinel_bio_1b_8b,1B-8B deaths,1B-8B deaths,100000,3374.6871519648253,-7445.51780996503,-3.102299087440285,0.0,0.0,7445.51780996503,24818.392699883432,74455.1780996503
longview_nuclear,Longview Philanthropy Nuclear Weapons Policy Fund,,100000,1.1098873167653825e+32,-16993369060689.703,0.0,0.0,0.0,10914137271456.348,139296282105252.23,7.954869585761007e+27
longview_nuclear_100m_1b,100M-1B deaths,100M-1B deaths,100000,491.74274760833055,-1084.924089365522,-0.45205170389572247,0.0,0.0,1084.924089365522,3616.4136312184055,10849.240893655215
longview_nuclear_10m_100m,10M-100M deaths,10M-100M deaths,100000,256.0885146035547,-565.0039575662954,-0.23541831564919732,0.0,0.0,565.0039575662954,1883.3465252209846,5650.039575662954
longview_nuclear_1b_8b,1B-8B deaths,1B-8B deaths,100000,2191.198885260617,-4834.406743713912,-2.0143361431848175,0.0,0.0,4834.406743713912,16114.68914571304,48344.06743713912
longview_ai,Longview Philanthropy AI Program,,100000,1.1007712117256334e+31,-2.9838785105423664e+16,-1963276371293.3398,-33322232.695602827,0.0,7240953572216.749,147680287990939.88,6.0083237508502854e+26
longview_ai_100m_1b,100M-1B deaths,100M-1B deaths,100000,36.27516072208774,-1200.718079370027,-120.07180793700269,-16.00957439160036,0.0,160.0957439160036,160.0957439160036,1600.9574391600358
longview_ai_10m_100m,10M-100M deaths,10M-100M deaths,100000,33.24359563500234,-1100.372417589568,-110.03724175895681,-14.671632234527575,0.0,146.71632234527573,146.71632234527573,1467.1632234527574
longview_ai_1b_8b,1B-8B deaths,1B-8B deaths,100000,114.2764669538361,-3782.58337624549,-378.25833762454903,-50.43444501660654,0.0,504.3444501660653,504.3444501660653,5043.444501660653
