effect_type,time_horizon,mean,5th_percentile,95th_percentile
YLDs_averted,0-5 years,83.83028064446412,27.95934623402315,195.35228810741938
YLDs_averted,5-10 years,149.6849299683718,49.923401792614484,348.81540822386904
YLDs_averted,10-20 years,348.2568572664813,116.15175299224448,811.553693881123
YLDs_averted,20-100 years,1098.1934760979198,366.27303874110083,2559.1541229623253
YLDs_averted,100-500 years,0.0,0.0,0.0
YLDs_averted,500+ years,0.0,0.0,0.0
life_years_saved,0-5 years,604.9593979552957,196.47226416248887,1390.9027489458015
life_years_saved,5-10 years,906.5252609843707,294.4116103462069,2084.253061864403
life_years_saved,10-20 years,2211.48299554655,718.2218720139322,5084.568961403082
life_years_saved,20-100 years,14555.578988870016,4727.2057758007895,33465.70843687119
life_years_saved,100-500 years,0.0,0.0,0.0
life_years_saved,500+ years,0.0,0.0,0.0
income_doublings,0-5 years,212.5561680760642,69.75683401478844,488.0884457467847
income_doublings,5-10 years,530.5263707264368,174.10852067105736,1218.2370149940075
income_doublings,10-20 years,2999.979738049167,984.5354784526239,6888.793022897709
income_doublings,20-100 years,13537.926997625098,4442.886485137014,31086.868975449688
income_doublings,100-500 years,0.0,0.0,0.0
income_doublings,500+ years,0.0,0.0,0.0
