effects at time horizon,,,,Risk profile: NEUTRAL,,,,,,Risk profile: UPSIDE sceptical,,,,,,Risk profile: DOWNSIDE CRITICAL,,,,,,Risk profile: COMBINED,,,,,,Risk profile: DMREU,,,,,,"Risk profile: WLU (low, 0.01)",,,,,,"Risk profile: WLU (moderate, 0.05)",,,,,,"Risk profile: WLU (high, 0.1)",,,,,,Risk profile: AMBIGUITY AVERSION,,,,,
project_id,near_term_xrisk,effect_id,recipient_type,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,dmreu_t0,dmreu_t1,dmreu_t2,dmreu_t3,dmreu_t4,dmreu_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5
sentinel_bio,FALSE,effect_human_lives_extinction,human_life_years,133.8,2546,1.21e+04,2.046e+05,3.202e+06,5.325e+31,102.6,2003,9768,1.458e+05,1.127e+06,-1.61e+30,69.32,1307,6135,1.034e+05,1.636e+06,4.68e+31,-17,-324.1,-1748,-4.54e+04,-1.371e+06,-8.228e+30,6.769,135.3,599.9,3849,-2.12e+05,-1.759e+30,57.21,1075,5027,8.27e+04,1.255e+06,1.769e+31,43.18,701.8,2997,3.983e+04,4.273e+05,-3.059e+30,26.36,271.4,704.1,-5490,-3.515e+05,-4.664e+30,48.89,942.9,4348,5.802e+04,2.299e+05,-1.643e+30
sentinel_bio_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,415.1,355.8,427,320.2,0,0,415.1,355.8,427,320.2,0,0,207.8,178,213.8,160.2,0,0,88.32,57.93,-29.61,-65.12,0,0,79.44,54.43,29.95,13.85,0,0,183.3,147.5,164,123.1,0,0,137.1,108.8,115.8,87.53,0,0,79.96,61.96,59.21,45.75,0,0,300.3,239.6,188.4,98.47,0,0
sentinel_bio_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,216.2,185.3,222.4,166.8,0,0,216.2,185.3,222.4,166.8,0,0,108.2,92.73,111.3,83.42,0,0,46,30.17,-15.42,-33.92,0,0,41.38,28.35,15.6,7.215,0,0,95.96,77.2,85.87,64.45,0,0,73.86,58.7,62.64,47.33,0,0,46.43,36.13,35.08,27.02,0,0,156.4,124.8,98.11,51.29,0,0
sentinel_bio_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,923.1,791.2,949.5,712,0,0,923.1,791.2,949.5,712,0,0,462,395.9,475.4,356.2,0,0,196.4,128.8,-65.83,-144.8,0,0,176.7,121,66.6,30.81,0,0,405.2,325.8,362.2,271.8,0,0,292,231.3,245.4,185.6,0,0,153,117.9,110,85.42,0,0,667.7,532.9,418.9,219,0,0
longview_nuclear,FALSE,effect_human_lives_extinction,human_life_years,131.1,2487,1.199e+04,2.07e+05,3.287e+06,5.426e+31,99.61,1948,9645,1.463e+05,1.093e+06,-1.635e+30,68.02,1288,6120,1.014e+05,1.605e+06,4.772e+31,-17.06,-308.2,-1684,-5.051e+04,-1.513e+06,-8.356e+30,6.516,135,612.4,2552,-2.5e+05,-1.787e+30,55.97,1053,4997,8.259e+04,1.263e+06,1.804e+31,42.29,690.4,2989,3.878e+04,4.007e+05,-3.105e+30,25.88,272.1,722,-7512,-4.093e+05,-4.738e+30,47.4,917.4,4322,5.746e+04,2.062e+05,-1.668e+30
longview_nuclear_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,134.5,115.3,138.4,103.8,0,0,134.5,115.3,138.4,103.8,0,0,67.32,57.69,69.27,51.9,0,0,28.62,18.77,-9.593,-21.1,0,0,25.74,17.64,9.704,4.489,0,0,59.92,48.21,53.64,40.25,0,0,47.06,37.44,40.03,30.24,0,0,31.06,24.25,23.78,18.27,0,0,97.3,77.65,61.04,31.91,0,0
longview_nuclear_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,70.05,60.04,72.06,54.03,0,0,70.05,60.04,72.06,54.03,0,0,35.06,30.04,36.07,27.03,0,0,14.9,9.775,-4.996,-10.99,0,0,13.41,9.184,5.054,2.338,0,0,31.36,25.24,28.09,21.08,0,0,25.3,20.16,21.6,16.31,0,0,17.74,13.9,13.8,10.58,0,0,50.67,40.44,31.79,16.62,0,0
longview_nuclear_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,599.4,513.7,616.5,462.3,0,0,599.4,513.7,616.5,462.3,0,0,300,257.1,308.7,231.3,0,0,127.5,83.64,-42.75,-94.02,0,0,114.7,78.58,43.24,20,0,0,264,212.3,236,177.1,0,0,194.1,153.9,163.6,123.7,0,0,108,83.5,78.98,61.15,0,0,433.6,346,272,142.2,0,0
longview_ai,TRUE,effect_human_lives_extinction,human_life_years,1221,9474,4.043e+04,6.651e+05,1.028e+07,1.61e+32,724.3,5471,2.36e+04,3.039e+05,-1.613e+06,-4.701e+31,-2373,-1.852e+04,-8.038e+04,-1.392e+06,-2.373e+07,-2.702e+31,-3813,-2.961e+04,-1.28e+05,-2.266e+06,-4.087e+07,-2.403e+32,-986.8,-7641,-3.313e+04,-5.985e+05,-1.131e+07,-6.945e+31,-402.9,-3291,-1.486e+04,-2.801e+05,-5.292e+06,-1.773e+31,-745.1,-6457,-3.003e+04,-5.891e+05,-1.125e+07,-1.041e+32,-1130,-9874,-4.588e+04,-8.85e+05,-1.626e+07,-1.119e+32,-138.4,-996.3,-4535,-1.63e+05,-6.107e+06,-4.804e+31
longview_ai_100m_1b,TRUE,effect_human_lives_sub_ext_100m_1b,human_life_years,24.82,21.27,25.53,19.14,0,0,24.82,21.27,25.53,19.14,0,0,-49.58,-42.51,-50.99,-38.26,0,0,-65.52,-58.28,-81.48,-62.39,0,0,-15.29,-14.28,-20.13,-15.82,0,0,-7.878,-6.583,-7.758,-5.805,0,0,-11.88,-9.953,-12.1,-8.983,0,0,-16.76,-14.04,-17.3,-12.79,0,0,10.54,6.911,-3.255,-3.716,0,0
longview_ai_10m_100m,TRUE,effect_human_lives_sub_ext_10m_100m,human_life_years,22.74,19.49,23.4,17.54,0,0,22.74,19.49,23.4,17.54,0,0,-45.44,-38.95,-46.73,-35.07,0,0,-60.04,-53.41,-74.67,-57.18,0,0,-14.01,-13.08,-18.45,-14.5,0,0,-7.205,-6.021,-7.096,-5.31,0,0,-10.81,-9.063,-11.02,-8.182,0,0,-15.22,-12.76,-15.73,-11.63,0,0,9.657,6.334,-2.983,-3.405,0,0
longview_ai_1b_8b,TRUE,effect_human_lives_sub_ext_1b_8b,human_life_years,78.18,67,80.42,60.3,0,0,78.18,67,80.42,60.3,0,0,-156.2,-133.9,-160.6,-120.5,0,0,-206.4,-183.6,-256.7,-196.6,0,0,-48.16,-44.97,-63.41,-49.84,0,0,-25.46,-21.27,-25.05,-18.75,0,0,-40.61,-33.98,-41.12,-30.55,0,0,-58.92,-49.23,-60.03,-44.46,0,0,33.19,21.77,-10.25,-11.71,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
